# From extend_go_genes.pl on Tue Apr 21 11:35:37 2020
# Input = gos_table.txt
# Genes	GO	GO branch
ompA	GO:0006810	P
ompC	GO:0006810	P
ompF	GO:0006810	P
ompG	GO:0006810	P
ompL	GO:0006810	P
ompN	GO:0006810	P
ompW	GO:0006810	P
oppA	GO:0006810	P
oppB	GO:0006810	P
oppC	GO:0006810	P
oppD	GO:0006810	P
oppF	GO:0006810	P
osmF	GO:0006810	P
panF	GO:0006810	P
pgaA	GO:0006810	P
pheP	GO:0006810	P
phnC	GO:0006810	P
phnD	GO:0006810	P
phnF	GO:0006810	P
phnG	GO:0006810	P
phoB	GO:0006810	P
phoE	GO:0006810	P
phoR	GO:0006810	P
phoU	GO:0006810	P
pitA	GO:0006810	P
pitB	GO:0006810	P
plaP	GO:0006810	P
pnuC	GO:0006810	P
potA	GO:0006810	P
potB	GO:0006810	P
potC	GO:0006810	P
potD	GO:0006810	P
potE	GO:0006810	P
potF	GO:0006810	P
potG	GO:0006810	P
potH	GO:0006810	P
potI	GO:0006810	P
ppdB	GO:0006810	P
pqiB	GO:0006810	P
proP	GO:0006810	P
proV	GO:0006810	P
proW	GO:0006810	P
proX	GO:0006810	P
proY	GO:0006810	P
pstA	GO:0006810	P
pstB	GO:0006810	P
pstC	GO:0006810	P
pstS	GO:0006810	P
psuT	GO:0006810	P
ptsA	GO:0006810	P
ptsG	GO:0006810	P
ptsH	GO:0006810	P
ptsI	GO:0006810	P
ptsN	GO:0006810	P
ptsP	GO:0006810	P
putP	GO:0006810	P
puuP	GO:0006810	P
ravA	GO:0006810	P
rbbA	GO:0006810	P
rbsA	GO:0006810	P
rbsB	GO:0006810	P
rbsC	GO:0006810	P
rcnA	GO:0006810	P
rhaT	GO:0006810	P
rhtA	GO:0006810	P
rhtB	GO:0006810	P
rhtC	GO:0006810	P
rsxD	GO:0006810	P
rutG	GO:0006810	P
sapA	GO:0006810	P
sapB	GO:0006810	P
sapC	GO:0006810	P
sapD	GO:0006810	P
sapF	GO:0006810	P
satP	GO:0006810	P
sbmA	GO:0006810	P
sbp	GO:0006810	P
sdaC	GO:0006810	P
secA	GO:0006810	P
secB	GO:0006810	P
secD	GO:0006810	P
secE	GO:0006810	P
secF	GO:0006810	P
secG	GO:0006810	P
secY	GO:0006810	P
setA	GO:0006810	P
setB	GO:0006810	P
setC	GO:0006810	P
sfmD	GO:0006810	P
sgcA	GO:0006810	P
sgcB	GO:0006810	P
sgcC	GO:0006810	P
sgrR	GO:0006810	P
sgrT	GO:0006810	P
shiA	GO:0006810	P
srlA	GO:0006810	P
srlB	GO:0006810	P
srlE	GO:0006810	P
srlR	GO:0006810	P
