# From extend_go_genes.pl on Tue Apr 21 11:35:37 2020
# Input = gos_table.txt
# Genes	GO	GO branch
exbB	GO:0006879	P
fecB	GO:0006879	P
fecC	GO:0006879	P
fecD	GO:0006879	P
feoB	GO:0006879	P
fepA	GO:0006879	P
fepB	GO:0006879	P
fepC	GO:0006879	P
fepD	GO:0006879	P
fepE	GO:0006879	P
fepG	GO:0006879	P
fes	GO:0006879	P
fetA	GO:0006879	P
fetB	GO:0006879	P
fhuB	GO:0006879	P
fhuC	GO:0006879	P
fhuD	GO:0006879	P
fhuF	GO:0006879	P
fieF	GO:0006879	P
ftnA	GO:0006879	P
ftnB	GO:0006879	P
iscU	GO:0006879	P
nfeF	GO:0006879	P
ybiX	GO:0006879	P
bfr	GO:0006880	P
ftnA	GO:0006880	P
ftnB	GO:0006880	P
bglH	GO:0015774	P
chiP	GO:0015774	P
gfcE	GO:0015774	P
lamB	GO:0015774	P
malE	GO:0015774	P
malF	GO:0015774	P
malG	GO:0015774	P
malK	GO:0015774	P
pgaA	GO:0015774	P
wza	GO:0015774	P
abpB	GO:0009314	P
apaH	GO:0009314	P
appY	GO:0009314	P
betB	GO:0009314	P
bglJ	GO:0009314	P
bluF	GO:0009314	P
clpP	GO:0009314	P
cmk	GO:0009314	P
cpxA	GO:0009314	P
cysB	GO:0009314	P
cysE	GO:0009314	P
dam	GO:0009314	P
dcd	GO:0009314	P
ddlA	GO:0009314	P
deaD	GO:0009314	P
dgkA	GO:0009314	P
dnaB	GO:0009314	P
dppF	GO:0009314	P
dusB	GO:0009314	P
efeO	GO:0009314	P
elfG	GO:0009314	P
envC	GO:0009314	P
eutK	GO:0009314	P
fadD	GO:0009314	P
fis	GO:0009314	P
ftsP	GO:0009314	P
gcvA	GO:0009314	P
glnA	GO:0009314	P
groL	GO:0009314	P
guaB	GO:0009314	P
hemH	GO:0009314	P
holC	GO:0009314	P
holD	GO:0009314	P
intF	GO:0009314	P
loiP	GO:0009314	P
lon	GO:0009314	P
mnmG	GO:0009314	P
mrcB	GO:0009314	P
nth	GO:0009314	P
priA	GO:0009314	P
priB	GO:0009314	P
prpR	GO:0009314	P
pstC	GO:0009314	P
pstS	GO:0009314	P
queA	GO:0009314	P
radA	GO:0009314	P
radD	GO:0009314	P
recA	GO:0009314	P
recB	GO:0009314	P
recC	GO:0009314	P
recF	GO:0009314	P
recG	GO:0009314	P
recJ	GO:0009314	P
recN	GO:0009314	P
recO	GO:0009314	P
recR	GO:0009314	P
rep	GO:0009314	P
rfbC	GO:0009314	P
rplY	GO:0009314	P
rpmF	GO:0009314	P
ruvA	GO:0009314	P
ruvB	GO:0009314	P
ruvC	GO:0009314	P
seqA	GO:0009314	P
sufC	GO:0009314	P
tatC	GO:0009314	P
thyA	GO:0009314	P
ubiH	GO:0009314	P
uspC	GO:0009314	P
uspD	GO:0009314	P
uspE	GO:0009314	P
uup	GO:0009314	P
uvrA	GO:0009314	P
uvrB	GO:0009314	P
uvrC	GO:0009314	P
uvrD	GO:0009314	P
xerD	GO:0009314	P
yabI	GO:0009314	P
yadG	GO:0009314	P
yafC	GO:0009314	P
yagJ	GO:0009314	P
yahD	GO:0009314	P
yahO	GO:0009314	P
ybaB	GO:0009314	P
ybaK	GO:0009314	P
ybfA	GO:0009314	P
ybgI	GO:0009314	P
ybjN	GO:0009314	P
yebC	GO:0009314	P
yebG	GO:0009314	P
yfaL	GO:0009314	P
yhbO	GO:0009314	P
yhgF	GO:0009314	P
yhjV	GO:0009314	P
yiaL	GO:0009314	P
yibA	GO:0009314	P
bglX	GO:0009251	P
glgP	GO:0009251	P
glgX	GO:0009251	P
malP	GO:0009251	P
malS	GO:0009251	P
malZ	GO:0009251	P
bhsA	GO:0046688	P
comR	GO:0046688	P
copA	GO:0046688	P
cueO	GO:0046688	P
cusA	GO:0046688	P
cusB	GO:0046688	P
cusC	GO:0046688	P
cusF	GO:0046688	P
cusR	GO:0046688	P
cusS	GO:0046688	P
cutA	GO:0046688	P
dsbC	GO:0046688	P
dsbD	GO:0046688	P
ibpB	GO:0046688	P
ybaT	GO:0046688	P
yobA	GO:0046688	P
bioA	GO:0009102	P
bioB	GO:0009102	P
bioC	GO:0009102	P
bioD	GO:0009102	P
bioD2	GO:0009102	P
bioF	GO:0009102	P
bioH	GO:0009102	P
birA	GO:0009102	P
fabG	GO:0009102	P
fabI	GO:0009102	P
ynfK	GO:0009102	P
bioP	GO:0015878	P
bipA	GO:0000027	P
crfC	GO:0000027	P
dbpA	GO:0000027	P
deaD	GO:0000027	P
der	GO:0000027	P
rlmE	GO:0000027	P
rluD	GO:0000027	P
rplA	GO:0000027	P
rplB	GO:0000027	P
rplC	GO:0000027	P
rplE	GO:0000027	P
rplF	GO:0000027	P
rplK	GO:0000027	P
rplP	GO:0000027	P
rplQ	GO:0000027	P
rplS	GO:0000027	P
rplT	GO:0000027	P
rplW	GO:0000027	P
rplX	GO:0000027	P
rplY	GO:0000027	P
rpmA	GO:0000027	P
rpmB	GO:0000027	P
rpmC	GO:0000027	P
rpmD	GO:0000027	P
rpmF	GO:0000027	P
rpmG	GO:0000027	P
srmB	GO:0000027	P
yhbY	GO:0000027	P
bipA	GO:0009408	P
clpB	GO:0009408	P
clpP	GO:0009408	P
clpS	GO:0009408	P
degP	GO:0009408	P
dnaJ	GO:0009408	P
dnaK	GO:0009408	P
dsbB	GO:0009408	P
dtd	GO:0009408	P
eutD	GO:0009408	P
gloB	GO:0009408	P
groL	GO:0009408	P
groS	GO:0009408	P
grpE	GO:0009408	P
hflC	GO:0009408	P
hflD	GO:0009408	P
hflK	GO:0009408	P
hflX	GO:0009408	P
hslJ	GO:0009408	P
hslO	GO:0009408	P
hslR	GO:0009408	P
hslU	GO:0009408	P
hslV	GO:0009408	P
hspQ	GO:0009408	P
htpG	GO:0009408	P
ibpA	GO:0009408	P
ibpB	GO:0009408	P
ldhA	GO:0009408	P
loiP	GO:0009408	P
lon	GO:0009408	P
lsrR	GO:0009408	P
marR	GO:0009408	P
miaA	GO:0009408	P
mngR	GO:0009408	P
moaA	GO:0009408	P
nudF	GO:0009408	P
oppA	GO:0009408	P
patZ	GO:0009408	P
phoU	GO:0009408	P
pncB	GO:0009408	P
pnp	GO:0009408	P
pspA	GO:0009408	P
pykF	GO:0009408	P
rhlE	GO:0009408	P
rpoD	GO:0009408	P
rpoH	GO:0009408	P
slyD	GO:0009408	P
sodA	GO:0009408	P
ssuD	GO:0009408	P
tig	GO:0009408	P
ttdB	GO:0009408	P
yajL	GO:0009408	P
ybeY	GO:0009408	P
yccX	GO:0009408	P
yebS	GO:0009408	P
yfcA	GO:0009408	P
yggE	GO:0009408	P
yhbO	GO:0009408	P
yjaZ	GO:0009408	P
yobF	GO:0009408	P
bipA	GO:0009409	P
cspA	GO:0009409	P
cspB	GO:0009409	P
cspG	GO:0009409	P
cspI	GO:0009409	P
deaD	GO:0009409	P
hscA	GO:0009409	P
infC	GO:0009409	P
lepA	GO:0009409	P
lpxP	GO:0009409	P
otsA	GO:0009409	P
otsB	GO:0009409	P
raiA	GO:0009409	P
rbfA	GO:0009409	P
rnr	GO:0009409	P
ves	GO:0009409	P
ybiT	GO:0009409	P
ydfK	GO:0009409	P
ynaE	GO:0009409	P
accB	GO:0006464	P
aceK	GO:0006464	P
acs	GO:0006464	P
arcB	GO:0006464	P
arnT	GO:0006464	P
atoS	GO:0006464	P
baeS	GO:0006464	P
barA	GO:0006464	P
basS	GO:0006464	P
birA	GO:0006464	P
bluF	GO:0006464	P
btsS	GO:0006464	P
cheA	GO:0006464	P
cheB	GO:0006464	P
cheW	GO:0006464	P
cheY	GO:0006464	P
cheZ	GO:0006464	P
citC	GO:0006464	P
cpxA	GO:0006464	P
creC	GO:0006464	P
cusS	GO:0006464	P
dcuS	GO:0006464	P
def	GO:0006464	P
dpiB	GO:0006464	P
envZ	GO:0006464	P
epmA	GO:0006464	P
epmB	GO:0006464	P
epmC	GO:0006464	P
era	GO:0006464	P
etk	GO:0006464	P
etp	GO:0006464	P
evgS	GO:0006464	P
fepE	GO:0006464	P
fmt	GO:0006464	P
frlB	GO:0006464	P
ftp	GO:0006464	P
glmM	GO:0006464	P
glmS	GO:0006464	P
glnD	GO:0006464	P
glnL	GO:0006464	P
glrK	GO:0006464	P
hchA	GO:0006464	P
hflX	GO:0006464	P
hipA	GO:0006464	P
hprS	GO:0006464	P
hyaD	GO:0006464	P
hybD	GO:0006464	P
hybF	GO:0006464	P
hycI	GO:0006464	P
hypA	GO:0006464	P
hypD	GO:0006464	P
hypF	GO:0006464	P
iap	GO:0006464	P
kdpD	GO:0006464	P
lipB	GO:0006464	P
lplA	GO:0006464	P
manA	GO:0006464	P
map	GO:0006464	P
msrA	GO:0006464	P
narQ	GO:0006464	P
narX	GO:0006464	P
npr	GO:0006464	P
nrdI	GO:0006464	P
pcm	GO:0006464	P
pflA	GO:0006464	P
phoA	GO:0006464	P
phoQ	GO:0006464	P
phoR	GO:0006464	P
phr	GO:0006464	P
pphA	GO:0006464	P
pphB	GO:0006464	P
pphC	GO:0006464	P
ppk	GO:0006464	P
ppsR	GO:0006464	P
ptsP	GO:0006464	P
pyrS	GO:0006464	P
qseC	GO:0006464	P
rcsC	GO:0006464	P
rcsD	GO:0006464	P
rimI	GO:0006464	P
rimJ	GO:0006464	P
rimK	GO:0006464	P
rimL	GO:0006464	P
roxA	GO:0006464	P
rstB	GO:0006464	P
sdhE	GO:0006464	P
sixA	GO:0006464	P
smpB	GO:0006464	P
srkA	GO:0006464	P
sucD	GO:0006464	P
sufE	GO:0006464	P
sufS	GO:0006464	P
torS	GO:0006464	P
tsaE	GO:0006464	P
ubiB	GO:0006464	P
uhpB	GO:0006464	P
uspG	GO:0006464	P
wzb	GO:0006464	P
wzc	GO:0006464	P
wzzB	GO:0006464	P
wzzE	GO:0006464	P
yajL	GO:0006464	P
yeaG	GO:0006464	P
yegI	GO:0006464	P
yfaE	GO:0006464	P
yhbO	GO:0006464	P
yjjJ	GO:0006464	P
ynbD	GO:0006464	P
zraS	GO:0006464	P
bioA	GO:0006768	P
bioB	GO:0006768	P
bioC	GO:0006768	P
bioD	GO:0006768	P
bioD2	GO:0006768	P
bioF	GO:0006768	P
bioH	GO:0006768	P
birA	GO:0006768	P
fabG	GO:0006768	P
fabI	GO:0006768	P
ynfK	GO:0006768	P
bluF	GO:0009637	P
bluF	GO:0009785	P
bluF	GO:0018298	P
phr	GO:0018298	P
acnA	GO:0050896	P
acrZ	GO:0050896	P
ada	GO:0050896	P
add	GO:0050896	P
adhP	GO:0050896	P
ahpC	GO:0050896	P
ahpF	GO:0050896	P
aidB	GO:0050896	P
alaA	GO:0050896	P
aldB	GO:0050896	P
alkA	GO:0050896	P
alkB	GO:0050896	P
allR	GO:0050896	P
appA	GO:0050896	P
appY	GO:0050896	P
aqpZ	GO:0050896	P
argB	GO:0050896	P
argF	GO:0050896	P
argT	GO:0050896	P
ariR	GO:0050896	P
arsC	GO:0050896	P
asd	GO:0050896	P
asnA	GO:0050896	P
atl	GO:0050896	P
azoR	GO:0050896	P
barA	GO:0050896	P
bcp	GO:0050896	P
betA	GO:0050896	P
betB	GO:0050896	P
betI	GO:0050896	P
betT	GO:0050896	P
bipA	GO:0050896	P
blc	GO:0050896	P
blr	GO:0050896	P
bluF	GO:0050896	P
bsmA	GO:0050896	P
btsT	GO:0050896	P
btuE	GO:0050896	P
cas1	GO:0050896	P
ccp	GO:0050896	P
cho	GO:0050896	P
clpA	GO:0050896	P
clpB	GO:0050896	P
clpP	GO:0050896	P
clpS	GO:0050896	P
cnoX	GO:0050896	P
cobU	GO:0050896	P
cpdB	GO:0050896	P
cpsB	GO:0050896	P
cspA	GO:0050896	P
cspB	GO:0050896	P
cspD	GO:0050896	P
cspG	GO:0050896	P
cspI	GO:0050896	P
cstA	GO:0050896	P
cysD	GO:0050896	P
cysG	GO:0050896	P
dam	GO:0050896	P
dctA	GO:0050896	P
dcyD	GO:0050896	P
ddpX	GO:0050896	P
deaD	GO:0050896	P
degP	GO:0050896	P
deoA	GO:0050896	P
deoB	GO:0050896	P
deoC	GO:0050896	P
deoD	GO:0050896	P
dgcN	GO:0050896	P
dhaK	GO:0050896	P
dhaM	GO:0050896	P
dinB	GO:0050896	P
dinD	GO:0050896	P
dinG	GO:0050896	P
dinI	GO:0050896	P
dinQ	GO:0050896	P
dnaJ	GO:0050896	P
dnaK	GO:0050896	P
dnaN	GO:0050896	P
dnaQ	GO:0050896	P
dosP	GO:0050896	P
dps	GO:0050896	P
dsbB	GO:0050896	P
dsdA	GO:0050896	P
dsdX	GO:0050896	P
dtd	GO:0050896	P
efeB	GO:0050896	P
efeO	GO:0050896	P
elaB	GO:0050896	P
emrE	GO:0050896	P
emrK	GO:0050896	P
emrY	GO:0050896	P
entS	GO:0050896	P
eutD	GO:0050896	P
eutN	GO:0050896	P
exoX	GO:0050896	P
fdoG	GO:0050896	P
fdoI	GO:0050896	P
fecR	GO:0050896	P
feoA	GO:0050896	P
feoB	GO:0050896	P
fepB	GO:0050896	P
fimB	GO:0050896	P
flgH	GO:0050896	P
flgI	GO:0050896	P
fnr	GO:0050896	P
frdA	GO:0050896	P
fre	GO:0050896	P
fsr	GO:0050896	P
ftnA	GO:0050896	P
ftsK	GO:0050896	P
ftsP	GO:0050896	P
fumB	GO:0050896	P
fumC	GO:0050896	P
gabP	GO:0050896	P
gadW	GO:0050896	P
gadX	GO:0050896	P
glaH	GO:0050896	P
glcD	GO:0050896	P
glgA	GO:0050896	P
glgB	GO:0050896	P
glgX	GO:0050896	P
gloB	GO:0050896	P
glpK	GO:0050896	P
glrK	GO:0050896	P
glxR	GO:0050896	P
gntR	GO:0050896	P
gor	GO:0050896	P
gph	GO:0050896	P
gpmM	GO:0050896	P
gpp	GO:0050896	P
gpr	GO:0050896	P
groL	GO:0050896	P
groS	GO:0050896	P
grpE	GO:0050896	P
grxC	GO:0050896	P
gshA	GO:0050896	P
gsiB	GO:0050896	P
gstA	GO:0050896	P
hchA	GO:0050896	P
hcp	GO:0050896	P
helD	GO:0050896	P
hflC	GO:0050896	P
hflD	GO:0050896	P
hflK	GO:0050896	P
hflX	GO:0050896	P
hisA	GO:0050896	P
hmp	GO:0050896	P
hokE	GO:0050896	P
hprS	GO:0050896	P
hscA	GO:0050896	P
hslJ	GO:0050896	P
hslO	GO:0050896	P
hslR	GO:0050896	P
hslU	GO:0050896	P
hslV	GO:0050896	P
hspQ	GO:0050896	P
htpG	GO:0050896	P
hupA	GO:0050896	P
hyfC	GO:0050896	P
hyfF	GO:0050896	P
ibpA	GO:0050896	P
ibpB	GO:0050896	P
icd	GO:0050896	P
idi	GO:0050896	P
infC	GO:0050896	P
insK	GO:0050896	P
iprA	GO:0050896	P
iraD	GO:0050896	P
iraM	GO:0050896	P
iraP	GO:0050896	P
katE	GO:0050896	P
katG	GO:0050896	P
kdgK	GO:0050896	P
kdpD	GO:0050896	P
lamB	GO:0050896	P
ldhA	GO:0050896	P
ldtD	GO:0050896	P
lepA	GO:0050896	P
leuB	GO:0050896	P
lexA	GO:0050896	P
ligA	GO:0050896	P
ligB	GO:0050896	P
lldP	GO:0050896	P
lldR	GO:0050896	P
loiP	GO:0050896	P
lon	GO:0050896	P
lpd	GO:0050896	P
lpxP	GO:0050896	P
lsrR	GO:0050896	P
malE	GO:0050896	P
malF	GO:0050896	P
marR	GO:0050896	P
mazG	GO:0050896	P
mdtK	GO:0050896	P
mfd	GO:0050896	P
mglA	GO:0050896	P
mglC	GO:0050896	P
mgtS	GO:0050896	P
miaA	GO:0050896	P
mlaB	GO:0050896	P
mltC	GO:0050896	P
mmuM	GO:0050896	P
mngR	GO:0050896	P
mntH	GO:0050896	P
moaA	GO:0050896	P
modF	GO:0050896	P
mrr	GO:0050896	P
mscM	GO:0050896	P
msrA	GO:0050896	P
msrB	GO:0050896	P
msrP	GO:0050896	P
mug	GO:0050896	P
mutH	GO:0050896	P
mutL	GO:0050896	P
mutM	GO:0050896	P
mutS	GO:0050896	P
mutT	GO:0050896	P
mutY	GO:0050896	P
nadE	GO:0050896	P
nagE	GO:0050896	P
nanK	GO:0050896	P
napF	GO:0050896	P
narX	GO:0050896	P
narY	GO:0050896	P
nei	GO:0050896	P
nfeF	GO:0050896	P
nfeR	GO:0050896	P
nfi	GO:0050896	P
nfo	GO:0050896	P
nfuA	GO:0050896	P
nhaA	GO:0050896	P
nikE	GO:0050896	P
norV	GO:0050896	P
norW	GO:0050896	P
nth	GO:0050896	P
nudF	GO:0050896	P
nudG	GO:0050896	P
ogt	GO:0050896	P
ompA	GO:0050896	P
ompC	GO:0050896	P
opgG	GO:0050896	P
opgH	GO:0050896	P
oppA	GO:0050896	P
osmC	GO:0050896	P
osmE	GO:0050896	P
osmF	GO:0050896	P
osmY	GO:0050896	P
otsA	GO:0050896	P
otsB	GO:0050896	P
oxyR	GO:0050896	P
paaJ	GO:0050896	P
paoC	GO:0050896	P
patZ	GO:0050896	P
pdeD	GO:0050896	P
pdeF	GO:0050896	P
pfkB	GO:0050896	P
pflA	GO:0050896	P
pgi	GO:0050896	P
phoQ	GO:0050896	P
phoR	GO:0050896	P
phoU	GO:0050896	P
phr	GO:0050896	P
pncB	GO:0050896	P
pnp	GO:0050896	P
polA	GO:0050896	P
polB	GO:0050896	P
priA	GO:0050896	P
proP	GO:0050896	P
proQ	GO:0050896	P
proV	GO:0050896	P
proW	GO:0050896	P
proX	GO:0050896	P
psiE	GO:0050896	P
pspA	GO:0050896	P
pspB	GO:0050896	P
pspD	GO:0050896	P
pspG	GO:0050896	P
pstA	GO:0050896	P
pstS	GO:0050896	P
purA	GO:0050896	P
purB	GO:0050896	P
purD	GO:0050896	P
purN	GO:0050896	P
putA	GO:0050896	P
puuP	GO:0050896	P
pykF	GO:0050896	P
qorA	GO:0050896	P
radA	GO:0050896	P
radD	GO:0050896	P
raiA	GO:0050896	P
rbfA	GO:0050896	P
rclA	GO:0050896	P
rclB	GO:0050896	P
rclC	GO:0050896	P
rcnB	GO:0050896	P
rcsA	GO:0050896	P
rcsC	GO:0050896	P
rcsF	GO:0050896	P
recA	GO:0050896	P
recB	GO:0050896	P
recC	GO:0050896	P
recD	GO:0050896	P
recF	GO:0050896	P
recG	GO:0050896	P
recJ	GO:0050896	P
recN	GO:0050896	P
recO	GO:0050896	P
recQ	GO:0050896	P
recR	GO:0050896	P
recX	GO:0050896	P
relA	GO:0050896	P
relE	GO:0050896	P
rep	GO:0050896	P
rfbC	GO:0050896	P
rfbX	GO:0050896	P
rhlE	GO:0050896	P
rhsD	GO:0050896	P
rihC	GO:0050896	P
rimK	GO:0050896	P
rnhB	GO:0050896	P
rnr	GO:0050896	P
rnt	GO:0050896	P
rplK	GO:0050896	P
rpmF	GO:0050896	P
rpoD	GO:0050896	P
rpoE	GO:0050896	P
rpoH	GO:0050896	P
rseC	GO:0050896	P
rtcB	GO:0050896	P
rusA	GO:0050896	P
rutE	GO:0050896	P
ruvA	GO:0050896	P
ruvB	GO:0050896	P
ruvC	GO:0050896	P
sanA	GO:0050896	P
sbcB	GO:0050896	P
sbcC	GO:0050896	P
sbcD	GO:0050896	P
sbmC	GO:0050896	P
sgbU	GO:0050896	P
slyA	GO:0050896	P
slyD	GO:0050896	P
sodA	GO:0050896	P
solA	GO:0050896	P
soxR	GO:0050896	P
spoT	GO:0050896	P
ssb	GO:0050896	P
sseA	GO:0050896	P
sspA	GO:0050896	P
ssuD	GO:0050896	P
ssuE	GO:0050896	P
sufA	GO:0050896	P
sufD	GO:0050896	P
sufE	GO:0050896	P
sulA	GO:0050896	P
symE	GO:0050896	P
tag	GO:0050896	P
tas	GO:0050896	P
tatD	GO:0050896	P
tauA	GO:0050896	P
tauB	GO:0050896	P
tauC	GO:0050896	P
thiH	GO:0050896	P
tig	GO:0050896	P
tisB	GO:0050896	P
tktA	GO:0050896	P
tpx	GO:0050896	P
treA	GO:0050896	P
treC	GO:0050896	P
treF	GO:0050896	P
ttdB	GO:0050896	P
ubiG	GO:0050896	P
ubiH	GO:0050896	P
udp	GO:0050896	P
umuC	GO:0050896	P
umuD	GO:0050896	P
ung	GO:0050896	P
uspC	GO:0050896	P
uspD	GO:0050896	P
uspE	GO:0050896	P
uspF	GO:0050896	P
uvrA	GO:0050896	P
uvrB	GO:0050896	P
uvrC	GO:0050896	P
uvrD	GO:0050896	P
uxuA	GO:0050896	P
ves	GO:0050896	P
vsr	GO:0050896	P
waaH	GO:0050896	P
wrbA	GO:0050896	P
xthA	GO:0050896	P
yaaA	GO:0050896	P
yaaU	GO:0050896	P
yaaY	GO:0050896	P
yadC	GO:0050896	P
yafN	GO:0050896	P
yafO	GO:0050896	P
yafP	GO:0050896	P
yaiP	GO:0050896	P
yajL	GO:0050896	P
yajQ	GO:0050896	P
ybaM	GO:0050896	P
ybaT	GO:0050896	P
ybaV	GO:0050896	P
ybcM	GO:0050896	P
ybdG	GO:0050896	P
ybeQ	GO:0050896	P
ybeY	GO:0050896	P
ybfE	GO:0050896	P
ybgI	GO:0050896	P
ybhJ	GO:0050896	P
ybhR	GO:0050896	P
ybiJ	GO:0050896	P
ybiO	GO:0050896	P
ybiT	GO:0050896	P
ybiX	GO:0050896	P
ybjD	GO:0050896	P
ybjX	GO:0050896	P
yccX	GO:0050896	P
ycdY	GO:0050896	P
yceK	GO:0050896	P
ycfL	GO:0050896	P
ycgB	GO:0050896	P
ychF	GO:0050896	P
ychH	GO:0050896	P
yciF	GO:0050896	P
yciT	GO:0050896	P
ycjU	GO:0050896	P
ycjW	GO:0050896	P
ydbK	GO:0050896	P
ydeI	GO:0050896	P
ydeM	GO:0050896	P
ydfK	GO:0050896	P
ydhQ	GO:0050896	P
ydiQ	GO:0050896	P
ydiZ	GO:0050896	P
ydjM	GO:0050896	P
yeaD	GO:0050896	P
yeaG	GO:0050896	P
yebG	GO:0050896	P
yebK	GO:0050896	P
yebS	GO:0050896	P
yedF	GO:0050896	P
yegP	GO:0050896	P
yehB	GO:0050896	P
yfbU	GO:0050896	P
yfcA	GO:0050896	P
yfcF	GO:0050896	P
yfcG	GO:0050896	P
yfdK	GO:0050896	P
yfdO	GO:0050896	P
yfdS	GO:0050896	P
yfgG	GO:0050896	P
yfgI	GO:0050896	P
ygcW	GO:0050896	P
ygfI	GO:0050896	P
yggE	GO:0050896	P
yggT	GO:0050896	P
yggX	GO:0050896	P
yghG	GO:0050896	P
ygiW	GO:0050896	P
ygjK	GO:0050896	P
yhaC	GO:0050896	P
yhbO	GO:0050896	P
yhbQ	GO:0050896	P
yhcF	GO:0050896	P
yhcH	GO:0050896	P
yhcN	GO:0050896	P
yiaA	GO:0050896	P
yiaB	GO:0050896	P
yiaO	GO:0050896	P
yibA	GO:0050896	P
yibH	GO:0050896	P
yidH	GO:0050896	P
yidQ	GO:0050896	P
yjaA	GO:0050896	P
yjaZ	GO:0050896	P
yjeI	GO:0050896	P
yjhC	GO:0050896	P
yjiA	GO:0050896	P
yjiM	GO:0050896	P
yjiX	GO:0050896	P
yjjB	GO:0050896	P
yjjU	GO:0050896	P
ykfM	GO:0050896	P
ykgM	GO:0050896	P
ynaE	GO:0050896	P
ynaI	GO:0050896	P
ynhF	GO:0050896	P
yoaA	GO:0050896	P
yobF	GO:0050896	P
yodD	GO:0050896	P
yohC	GO:0050896	P
yphB	GO:0050896	P
yqcG	GO:0050896	P
yqgF	GO:0050896	P
yqhD	GO:0050896	P
yqiH	GO:0050896	P
yqiJ	GO:0050896	P
yraJ	GO:0050896	P
yraP	GO:0050896	P
yrfG	GO:0050896	P
ytfE	GO:0050896	P
ytfK	GO:0050896	P
zinT	GO:0050896	P
zraP	GO:0050896	P
zraS	GO:0050896	P
borD	GO:0071286	P
mgrB	GO:0071286	P
mgtA	GO:0071286	P
brnQ	GO:0015803	P
leuE	GO:0015803	P
livF	GO:0015803	P
livG	GO:0015803	P
livH	GO:0015803	P
livJ	GO:0015803	P
livK	GO:0015803	P
livM	GO:0015803	P
ygaH	GO:0015803	P
ygaZ	GO:0015803	P
yjeH	GO:0015803	P
brnQ	GO:0015818	P
livF	GO:0015818	P
livG	GO:0015818	P
livH	GO:0015818	P
livJ	GO:0015818	P
livM	GO:0015818	P
yjeH	GO:0015818	P
brnQ	GO:0015820	P
leuE	GO:0015820	P
livF	GO:0015820	P
livG	GO:0015820	P
livH	GO:0015820	P
livJ	GO:0015820	P
livK	GO:0015820	P
livM	GO:0015820	P
yjeH	GO:0015820	P
brnQ	GO:0015829	P
livF	GO:0015829	P
livG	GO:0015829	P
livH	GO:0015829	P
livJ	GO:0015829	P
livM	GO:0015829	P
ygaH	GO:0015829	P
ygaZ	GO:0015829	P
yjeH	GO:0015829	P
brnQ	GO:1903785	P
livF	GO:1903785	P
livG	GO:1903785	P
livH	GO:1903785	P
livM	GO:1903785	P
ygaH	GO:1903785	P
ygaZ	GO:1903785	P
yjeH	GO:1903785	P
bssR	GO:1900190	P
bssS	GO:1900190	P
cnu	GO:1900190	P
csgD	GO:1900190	P
dgcM	GO:1900190	P
dgcZ	GO:1900190	P
glgS	GO:1900190	P
hns	GO:1900190	P
pdeF	GO:1900190	P
pyrR	GO:1900190	P
ybjN	GO:1900190	P
ycfJ	GO:1900190	P
yfjR	GO:1900190	P
ymdB	GO:1900190	P
ymgA	GO:1900190	P
btsT	GO:0006849	P
ahpC	GO:0031669	P
appA	GO:0031669	P
appY	GO:0031669	P
argT	GO:0031669	P
btsT	GO:0031669	P
cstA	GO:0031669	P
dcyD	GO:0031669	P
gabP	GO:0031669	P
iraM	GO:0031669	P
iraP	GO:0031669	P
leuB	GO:0031669	P
mazG	GO:0031669	P
mgtS	GO:0031669	P
nfeF	GO:0031669	P
nfuA	GO:0031669	P
phoQ	GO:0031669	P
phoR	GO:0031669	P
phoU	GO:0031669	P
psiE	GO:0031669	P
pyrS	GO:0031669	P
relE	GO:0031669	P
rhsD	GO:0031669	P
rplK	GO:0031669	P
ssuE	GO:0031669	P
tas	GO:0031669	P
tauA	GO:0031669	P
tauB	GO:0031669	P
tauC	GO:0031669	P
uspC	GO:0031669	P
waaH	GO:0031669	P
yeaG	GO:0031669	P
yhjX	GO:0031669	P
ykgM	GO:0031669	P
zinT	GO:0031669	P
btuB	GO:0015889	P
btuC	GO:0015889	P
btuD	GO:0015889	P
btuE	GO:0015889	P
btuF	GO:0015889	P
cobT	GO:0015889	P
exbB	GO:0015889	P
tonB	GO:0015889	P
abgT	GO:0034220	P
actP	GO:0034220	P
adiC	GO:0034220	P
afuC	GO:0034220	P
alaE	GO:0034220	P
argO	GO:0034220	P
artP	GO:0034220	P
atpA	GO:0034220	P
atpB	GO:0034220	P
atpC	GO:0034220	P
atpD	GO:0034220	P
atpF	GO:0034220	P
atpG	GO:0034220	P
atpH	GO:0034220	P
bcr	GO:0034220	P
brnQ	GO:0034220	P
btuB	GO:0034220	P
cadB	GO:0034220	P
caiT	GO:0034220	P
chaA	GO:0034220	P
copA	GO:0034220	P
crcB	GO:0034220	P
cydC	GO:0034220	P
cydD	GO:0034220	P
cysA	GO:0034220	P
cysP	GO:0034220	P
cysU	GO:0034220	P
cysW	GO:0034220	P
dauA	GO:0034220	P
dctA	GO:0034220	P
dcuA	GO:0034220	P
dcuB	GO:0034220	P
dcuC	GO:0034220	P
dsdX	GO:0034220	P
eamA	GO:0034220	P
eamB	GO:0034220	P
fieF	GO:0034220	P
frlA	GO:0034220	P
glcA	GO:0034220	P
glnQ	GO:0034220	P
glpT	GO:0034220	P
gltI	GO:0034220	P
gltL	GO:0034220	P
gltP	GO:0034220	P
gltS	GO:0034220	P
gntP	GO:0034220	P
gntT	GO:0034220	P
gntU	GO:0034220	P
gsiA	GO:0034220	P
gsiC	GO:0034220	P
