node	function
aroC	1,1.5,1.5.1,1.5.1.20
aroD	1,1.5,1.5.1,1.5.1.20
aroE	1,1.5,1.5.1,1.5.1.20
aroF	1,1.5,1.5.1,1.5.1.20
aroG	1,1.5,1.5.1,1.5.1.13
aroH	1,1.5,1.5.1,1.5.1.15
aroK	1,1.5,1.5.1,1.5.1.20
aroL	1,1.5,1.5.1,1.5.1.20
aroP	1,1.5,1.5.1,1.5.1.13
aroP	1,1.5,1.5.1,1.5.1.14
aroP	4,4.2,4.2.A
aroP	6,6.1
arpA	1,1.5,1.5.4
arpA	3,3.1,3.1.4
arsB	4,4.3,4.3.A,4.3.A.4
arsB	5,5.6,5.6.2
arsB	6,6.1
arsC	5,5.6,5.6.2
arsR	2,2.2,2.2.2
arsR	3,3.1,3.1.2,3.1.2.3
arsR	3,3.3,3.3.1
arsR	5,5.6,5.6.4
artI	1,1.5,1.5.1,1.5.1.2
artI	4,4.3,4.3.A,4.3.A.1,4.3.A.1.p
artJ	1,1.5,1.5.1,1.5.1.3
artJ	4,4.3,4.3.A,4.3.A.1,4.3.A.1.p
artM	1,1.1,1.1.3
artM	1,1.5,1.5.1,1.5.1.3
artM	4,4.3,4.3.A,4.3.A.1,4.3.A.1.m
artM	6,6.1
artP	1,1.5,1.5.1,1.5.1.3
artP	4,4.3,4.3.A,4.3.A.1,4.3.A.1.a
artQ	1,1.5,1.5.1,1.5.1.3
artQ	4,4.3,4.3.A,4.3.A.1,4.3.A.1.m
artQ	6,6.1
ascB	1,1.1,1.1.1
ascF	1,1.1,1.1.1
ascF	4,4.4,4.4.A
ascF	6,6.1
ascG	1,1.1,1.1.1
ascG	2,2.2,2.2.2
ascG	3,3.1,3.1.2,3.1.2.3
ascG	3,3.3,3.3.1
asd	1,1.5,1.5.1,1.5.1.21
asd	1,1.5,1.5.1,1.5.1.7
aslA	1,1.8,1.8.2
aslB	2,2.3,2.3.4
asmA	1,1.6,1.6.3
asmA	6,6.3
asnA	1,1.5,1.5.1,1.5.1.6
asnB	1,1.1,1.1.3
asnB	1,1.5,1.5.1,1.5.1.6
asnC	1,1.5,1.5.1,1.5.1.6
asnC	2,2.2,2.2.2
asnC	3,3.1,3.1.2,3.1.2.2
asnC	3,3.1,3.1.2,3.1.2.3
asnC	3,3.3,3.3.2
asnS	2,2.3,2.3.1
asnT	2,2.2,2.2.5
asnU	2,2.2,2.2.5
asnV	2,2.2,2.2.5
asnW	2,2.2,2.2.5
aspA	1,1.5,1.5.1,1.5.1.6
aspA	1,1.5,1.5.1,1.5.1.7
aspA	1,1.7,1.7.13
aspC	1,1.1,1.1.3
aspC	1,1.5,1.5.1,1.5.1.5
aspS	2,2.3,2.3.1
aspT	2,2.2,2.2.5
aspU	2,2.2,2.2.5
aspV	2,2.2,2.2.5
asr	5,5.5,5.5.4
astA	1,1.1,1.1.3
astB	1,1.1,1.1.3
astC	1,1.8,1.8.3
astD	1,1.1,1.1.3
astE	1,1.1,1.1.3
atl	2,2.1,2.1.4
atoA	1,1.1,1.1.2
atoB	1,1.1,1.1.2
atoB	6,6.1
atoC	1,1.1,1.1.2
atoC	1,1.7,1.7.14
atoC	2,2.2,2.2.2
atoC	3,3.1,3.1.2,3.1.2.2
atoC	3,3.1,3.1.2,3.1.2.4,3.1.2.4.3
atoC	3,3.1,3.1.3,3.1.3.3
atoC	3,3.3,3.3.1
atoD	1,1.1,1.1.2
atoE	4,4.9.B
atoS	1,1.1,1.1.2
atoS	2,2.3,2.3.3
atoS	3,3.1,3.1.2,3.1.2.4,3.1.2.4.3
atoS	3,3.1,3.1.3,3.1.3.2
atoS	6,6.1
atpA	1,1.3,1.3.8
atpA	4,4.3,4.3.A,4.3.A.2
atpA	6,6.1
atpB	1,1.3,1.3.8
atpB	2,2.3,2.3.4
atpB	4,4.3,4.3.A,4.3.A.2
atpB	6,6.1
atpC	1,1.3,1.3.8
atpC	4,4.3,4.3.A,4.3.A.2
atpC	6,6.1
atpD	1,1.3,1.3.8
atpD	4,4.3,4.3.A,4.3.A.2
atpD	6,6.1
atpE	1,1.3,1.3.8
atpE	4,4.3,4.3.A,4.3.A.2
atpE	6,6.1
atpF	1,1.3,1.3.8
atpF	4,4.3,4.3.A,4.3.A.2
atpF	6,6.1
atpG	1,1.3,1.3.8
atpG	4,4.3,4.3.A,4.3.A.2
atpG	6,6.1
atpH	1,1.3,1.3.8
atpH	4,4.3,4.3.A,4.3.A.2
atpH	6,6.1
atpI	1,1.3,1.3.8
atpI	4,4.3,4.3.A,4.3.A.2
atpI	6,6.1
avtA	1,1.5,1.5.1,1.5.1.17
azoR	1
bacA	5,5.6,5.6.4
bacA	6,6.1
baeR	2,2.2,2.2.2
baeR	3,3.1,3.1.2,3.1.2.2
baeR	3,3.1,3.1.2,3.1.2.4,3.1.2.4.3
baeS	2,2.3,2.3.3
baeS	3,3.1,3.1.2,3.1.2.4,3.1.2.4.3
baeS	3,3.1,3.1.3,3.1.3.2
baeS	6,6.1
bamA	6,6.1
bamB	6,6.1
bamC	6,6.1
bamD	6,6.1
bamE	6,6.1
barA	2,2.3,2.3.3
barA	3,3.1,3.1.2,3.1.2.4,3.1.2.4.3
barA	3,3.1,3.1.3,3.1.3.2
barA	6,6.1
basR	2,2.2,2.2.2
basR	3,3.1,3.1.2,3.1.2.2
basR	3,3.1,3.1.2,3.1.2.4,3.1.2.4.3
basS	2,2.3,2.3.3
basS	3,3.1,3.1.2,3.1.2.4,3.1.2.4.3
basS	3,3.1,3.1.3,3.1.3.2
basS	6,6.1
bcp	5,5.6,5.6.2
bcr	4,4.2,4.2.A
bcr	5,5.6,5.6.4
bcr	6,6.1
bcsA	1,1.6
bcsB	1,1.6
bcsC	6
bcsZ	1,1.2,1.2.4
bdcR	2,2.2,2.2.2
bdcR	3,3.1,3.1.2
bdm	5,5.3
beeE	8,8.1
bepA	1,1.2,1.2.3
bepA	2,2.3
betA	1,1.7,1.7.18
betA	5,5.5,5.5.1
betA	6,6.1
betB	1,1.7,1.7.18
betB	5,5.5,5.5.1
betI	2,2.2,2.2.2
betI	3,3.1,3.1.2,3.1.2.3
betI	3,3.3,3.3.1
betI	5,5.5,5.5.1
betT	1,1.7,1.7.18
betT	4,4.2,4.2.A
betT	6,6.1
bfd	3,3.1,3.1.4
bfd	5,5.5,5.5.7
bfr	5,5.5,5.5.7
bglA	1,1.1,1.1.1
bglB	1,1.1,1.1.1
