node	function
folA	1,1.5,1.5.3,1.5.3.2
folA	1,1.7,1.7.17
folB	1,1.5,1.5.3,1.5.3.2
folC	1,1.5,1.5.3,1.5.3.2
folC	1,1.7,1.7.17
folD	1,1.5,1.5.3,1.5.3.2
folD	1,1.7,1.7.17
folE	1,1.5,1.5.3,1.5.3.2
folK	1,1.5,1.5.3,1.5.3.2
folM	1,1.5,1.5.3,1.5.3.2
folM	1,1.7,1.7.17
folP	1,1.5,1.5.3,1.5.3.2
folX	1,1.7,1.7.1
fpr	1,1.7,1.7.1
fpr	5,5.6,5.6.2
frc	1,1.8
frdA	1,1.3,1.3.5
frdA	1,1.3,1.3.7
frdA	1,1.4,1.4.2
frdB	1,1.3,1.3.5
frdB	1,1.3,1.3.7
frdB	1,1.4,1.4.2
frdC	1,1.3,1.3.5
frdC	1,1.3,1.3.7
frdC	1,1.4,1.4.2
frdC	6,6.1
frdD	1,1.3,1.3.5
frdD	1,1.3,1.3.7
frdD	1,1.4,1.4.2
frdD	6,6.1
fre	1,1.4,1.4.3
frlA	4,4.2,4.2.A
frlA	6,6.1
frlB	1,1.1,1.1.1
frlC	1,1.1,1.1.1
frlD	1,1.1,1.1.1
frlR	2,2.2,2.2.2
frlR	3,3.1,3.1.2,3.1.2.3
frmA	1,1.3,1.3.5
frmB	5,5.6,5.6.2
frmR	3,3.1,3.1.2,3.1.2.5
frr	2,2.3,2.3.2
frr	3,3.1,3.1.3,3.1.3.1
frsA	1,1.3,1.3.5
frsA	1,1.3,1.3.6
fruA	1,1.1,1.1.1
fruA	4,4.4,4.4.A
fruA	6,6.1
fruB	1,1.1,1.1.1
fruB	4,4.4,4.4.A
fruK	1,1.3
frvA	1,1.1,1.1.1
frvA	4,4.4,4.4.A
frvB	4,4.4,4.4.A
frvR	2,2.2,2.2.2
frvR	3,3.1,3.1.2,3.1.2.3
frvR	3,3.3,3.3.1
frvX	1,1.2,1.2.4
frwB	1,1.1,1.1.1
frwB	4,4.4,4.4.A
frwC	4,4.4,4.4.A
frwD	1,1.1,1.1.1
frwD	4,4.4,4.4.A
fryA	4,4.4,4.4.A
fryB	4,4.4,4.4.A
fryC	1,1.1,1.1.1
fryC	4,4.4,4.4.A
fsaA	1
fsaB	1
fsr	4,4.2,4.2.A
fsr	5,5.6,5.6.4
fsr	6,6.1
ftnA	5,5.5,5.5.7
ftnB	5,5.5,5.5.7
ftp	1,1.7,1.7.19
ftsA	5,5.1
ftsA	6,6.1
ftsB	5,5.1
ftsE	5,5.1
ftsH	1,1.2,1.2.3
ftsH	2,2.2,2.2.2
ftsH	2,2.3,2.3.6
ftsH	5,5.1
ftsH	6,6.1
ftsH	8,8.2
ftsI	1,1.6,1.6.7
ftsI	5,5.1
ftsI	5,5.6,5.6.4
ftsI	6,6.2
ftsK	4,4.9.A
ftsK	5,5.1
ftsK	5,5.8
ftsK	6,6.1
ftsL	5,5.1
ftsN	5,5.1
ftsP	5,5.1
ftsQ	5,5.1
ftsW	5,5.1
ftsW	6,6.1
ftsX	5,5.1
ftsX	6,6.1
ftsY	2,2.3,2.3.5
ftsY	4,4.3,4.3.A,4.3.A.5
ftsY	5,5.1
ftsY	6,6.1
ftsZ	5,5.1
fucA	1,1.1,1.1.1
fucI	1,1.1,1.1.1
fucK	1,1.1,1.1.1
fucO	1,1.1,1.1.1
fucO	1,1.7,1.7.25
fucP	1,1.1,1.1.1
fucP	4,4.2,4.2.A
fucP	6,6.1
fucR	1,1.1,1.1.1
fucR	2,2.2,2.2.2
fucR	3,3.1,3.1.2,3.1.2.2
fucR	3,3.3,3.3.1
fucU	1,1.1,1.1.1
fumA	1,1.3,1.3.4
fumB	1,1.3,1.3.4
fumB	1,1.3,1.3.5
fumC	1,1.3,1.3.4
fumC	1,1.3,1.3.5
fumD	1,1.3
fumE	3,3.1,3.1.4
fur	2,2.2,2.2.2
fur	3,3.1,3.1.2,3.1.2.2
fur	3,3.1,3.1.2,3.1.2.3
fur	3,3.3,3.3.2
fusA	2,2.3,2.3.2
fxsA	6,6.1
fxsA	8,8.1
fxsA	8,8.2
gabD	1,1.7,1.7.31
gabD	1,1.7,1.7.32
gabP	1,1.1,1.1.1
gabP	4,4.2,4.2.A
gabP	6,6.1
gabT	1,1.7,1.7.31
gabT	1,1.7,1.7.32
gadA	5,5.5,5.5.4
gadB	5,5.5,5.5.4
gadC	4,4.2,4.2.A
gadC	6,6.1
gadE	2,2.2,2.2.2
gadE	3,3.1,3.1.2,3.1.2.2
gadE	5,5.5,5.5.4
gadW	2,2.2,2.2.2
gadW	3,3.1,3.1.2,3.1.2.3
gadX	2,2.2,2.2.2
gadX	3,3.1,3.1.2,3.1.2.2
gadY	2,2.2,2.2.7
galE	1,1.1,1.1.1
galE	1,1.6,1.6.2
galE	1,1.7,1.7.7
galE	6,6.3
galE	6,6.7
galF	1,1.7,1.7.10
galK	1,1.1,1.1.1
galK	1,1.6,1.6.2
galK	1,1.7,1.7.7
galK	6,6.7
galM	1,1.1,1.1.1
galP	1,1.1,1.1.1
galP	4,4.2,4.2.A
galP	6,6.1
galR	1,1.1,1.1.1
galR	2,2.2,2.2.2
galR	3,3.1,3.1.2,3.1.2.3
galR	3,3.3,3.3.1
galS	1,1.1,1.1.1
galS	2,2.2,2.2.2
galS	3,3.1,3.1.2,3.1.2.3
galS	3,3.3,3.3.1
galT	1,1.1,1.1.1
galT	1,1.6,1.6.2
galT	1,1.7,1.7.7
galT	6,6.7
galU	1,1.1,1.1.1
galU	1,1.6,1.6.2
galU	1,1.7,1.7.7
galU	1,1.7,1.7.9
galU	5,5.5,5.5.5
galU	6,6.7
gapA	1,1.3,1.3.1
gapA	1,1.5,1.5.3,1.5.3.6,5'phosphate
gapA	1,1.7
garD	1,1.1,1.1.1
garK	1,1.1,1.1.1
garL	1,1.1,1.1.1
garP	1,1.1,1.1.1
garP	4,4.2,4.2.A
garP	6,6.1
garR	1,1.1,1.1.1
gatA	1,1.1,1.1.1
gatA	4,4.4,4.4.A
gatA	6,6.1
gatB	1,1.1,1.1.1
gatB	4,4.4,4.4.A
gatC	1,1.1,1.1.1
gatC	4,4.4,4.4.A
gatC	6,6.1
gatD	1,1.1,1.1.1
gatR	2,2.2,2.2.2
gatR	3,3.1,3.1.2,3.1.2.3
gatY	1,1.1,1.1.1
gatZ	1,1.1,1.1.1
gcd	1,1.1,1.1.1
gcd	1,1.4,1.4.1
gcd	1,1.7,1.7.9
gcd	6,6.1
gcl	1,1.7,1.7.21
gcl	1,1.7,1.7.25
gcvA	1,1.1,1.1.3
gcvA	1,1.7,1.7.17
gcvA	2,2.2,2.2.2
gcvA	3,3.1,3.1.2,3.1.2.2
gcvA	3,3.1,3.1.2,3.1.2.3
gcvA	3,3.3,3.3.1
gcvB	2,2.2,2.2.7
gcvB	3,3.1,3.1.3
gcvH	1,1.1,1.1.3
gcvH	1,1.7,1.7.17
gcvP	1,1.1,1.1.3
gcvP	1,1.7,1.7.17
gcvR	1,1.1,1.1.3
gcvR	1,1.7,1.7.17
gcvR	2,2.2,2.2.2
gcvR	3,3.1,3.1.2,3.1.2.3
gcvR	3,3.3,3.3.1
gcvT	1,1.1,1.1.3
gcvT	1,1.7,1.7.17
gdhA	1,1.5,1.5.1,1.5.1.1
gdx	4,4.2,4.2.A
gdx	6,6.1
gfcA	6,6.1
ggt	1,1.7
ggt	5,5.5,5.5.6
ghoS	2,2.2,2.2.4
ghoT	5
ghrA	1
ghrB	1,1.1,1.1.1
ghxP	4,4.2,4.2.A
ghxP	6,6.1
ghxQ	4,4.2,4.2.A
glaH	1,1.1,1.1.3
glaR	1,1.7,1.7.32
glaR	1,1.8,1.8.3
glaR	2,2.2,2.2.2
glaR	3,3.1,3.1.2,3.1.2.3
glcA	1,1.1,1.1.1
glcA	4,4.2,4.2.A
glcA	6,6.1
glcB	1,1.1,1.1.1
glcB	1,1.7,1.7.21
glcC	1,1.1,1.1.1
glcC	2,2.2,2.2.2
glcC	3,3.1,3.1.2,3.1.2.2
glcC	3,3.1,3.1.2,3.1.2.3
glcC	3,3.3,3.3.1
glcD	1,1.7,1.7.25
glcE	1,1.7,1.7.25
glcF	1,1.7,1.7.25
gldA	1,1.7,1.7.6
glf	1,1.6,1.6.3,1.6.3.1
glf	6,6.2
glf	6,6.3
glgA	1,1.6,1.6.9
glgB	1,1.6,1.6.9
glgC	1,1.6,1.6.9
glgP	1,1.1,1.1.1
glgP	1,1.6,1.6.9
glgS	1,1.6,1.6.9
glgX	1,1.1,1.1.1
glk	1,1.1,1.1.1
glmM	1,1.6,1.6.3,1.6.3.1
glmM	1,1.6,1.6.4
glmM	1,1.6,1.6.7
glmM	1,1.7,1.7.12
glmM	6,6.2
glmM	6,6.3
glmS	1,1.6,1.6.3,1.6.3.1
glmS	1,1.6,1.6.7
glmS	1,1.7,1.7.12
glmS	6,6.2
glmS	6,6.3
glmU	1,1.6,1.6.3,1.6.3.1
glmU	1,1.6,1.6.4
glmU	1,1.6,1.6.7
glmU	1,1.7,1.7.10
glmU	6,6.2
glmU	6,6.3
glmY	3,3.1,3.1.3
glmZ	2,2.2,2.2.7
glmZ	3,3.1,3.1.3,3.1.3.1
glmZ	3,3.1,3.1.3,3.1.3.6
glnA	1,1.5,1.5.1,1.5.1.2
glnA	1,1.8,1.8.3
glnB	1,1.5,1.5.1,1.5.1.2
glnB	1,1.5,1.5.4
glnB	1,1.8,1.8.3
glnB	3,3.1,3.1.3,3.1.3.3
glnD	1,1.5,1.5.1,1.5.1.2
glnD	1,1.8,1.8.3
glnD	2,2.3,2.3.3
glnE	1,1.8,1.8.3
glnE	2,2.3,2.3.3
glnG	1,1.5,1.5.1,1.5.1.2
glnG	2,2.2,2.2.2
glnG	3,3.1,3.1.2,3.1.2.2
glnG	3,3.1,3.1.2,3.1.2.3
glnG	3,3.1,3.1.2,3.1.2.4,3.1.2.4.3
glnG	3,3.3,3.3.1
glnH	1,1.5,1.5.1,1.5.1.2
glnH	4,4.3,4.3.A,4.3.A.1,4.3.A.1.p
glnK	1,1.8,1.8.3
glnK	3,3.1,3.1.4
glnL	1,1.5,1.5.1,1.5.1.2
glnL	2,2.3,2.3.3
glnL	3,3.1,3.1.2,3.1.2.4,3.1.2.4.3
glnL	3,3.1,3.1.3,3.1.3.2
glnP	1,1.5,1.5.1,1.5.1.2
glnP	4,4.3,4.3.A,4.3.A.1,4.3.A.1.m
glnP	6,6.1
glnQ	1,1.5,1.5.1,1.5.1.2
glnQ	4,4.3,4.3.A,4.3.A.1,4.3.A.1.a
glnS	2,2.3,2.3.1
glnU	2,2.2,2.2.5
glnV	2,2.2,2.2.5
glnW	2,2.2,2.2.5
glnX	2,2.2,2.2.5
gloA	1,1.7,1.7.23
gloB	1,1.7,1.7.23
gloC	1,1.7,1.7.23
glpA	1,1.3,1.3.7
glpA	1,1.4,1.4.1
glpA	1,1.7,1.7.6
glpA	6,6.1
glpB	1,1.3,1.3.7
glpB	1,1.4,1.4.1
glpB	1,1.7,1.7.6
glpB	6,6.1
glpC	1,1.3,1.3.7
glpC	1,1.4,1.4.1
glpC	1,1.7,1.7.6
glpC	6,6.1
glpD	1,1.3,1.3.6
glpD	1,1.4,1.4.1
glpD	1,1.7,1.7.6
glpF	1,1.5,1.5.4
glpF	1,1.7,1.7.6
glpF	4,4.1,4.1.A
glpF	6,6.1
glpG	6,6.1
glpK	1,1.7,1.7.6
glpQ	1,1.7,1.7.6
glpR	1,1.3,1.3.7
glpR	2,2.2,2.2.2
glpR	3,3.1,3.1.2,3.1.2.3
glpR	3,3.3,3.3.1
glpT	1,1.3,1.3.6
glpT	1,1.3,1.3.7
glpT	1,1.5,1.5.4
glpT	1,1.7,1.7.6
glpT	4,4.2,4.2.A
glpT	6,6.1
glpX	1,1.7
glrK	2,2.3,2.3.3
glrK	3,3.1,3.1.2,3.1.2.4,3.1.2.4.3
glrK	3,3.1,3.1.3,3.1.3.2
glrR	2,2.2,2.2.2
glrR	2,2.3,2.3.3
glrR	3,3.1,3.1.2,3.1.2.2
glrR	3,3.1,3.1.2,3.1.2.4,3.1.2.4.3
glsA	1
glsA	5,5.5,5.5.4
glsB	1
gltA	1,1.3,1.3.4
gltB	1,1.5,1.5.1,1.5.1.1
gltB	1,1.8,1.8.3
gltD	1,1.5,1.5.1,1.5.1.1
gltD	1,1.8,1.8.3
gltF	3,3.3,3.3.1
gltI	1,1.5,1.5.1,1.5.1.1
gltI	4,4.3,4.3.A,4.3.A.1,4.3.A.1.p
gltJ	1,1.5,1.5.1,1.5.1.1
gltJ	1,1.5,1.5.1,1.5.1.5
gltJ	4,4.3,4.3.A,4.3.A.1,4.3.A.1.m
gltJ	6,6.1
gltK	1,1.5,1.5.1,1.5.1.1
gltK	1,1.5,1.5.1,1.5.1.5
gltK	4,4.3,4.3.A,4.3.A.1,4.3.A.1.m
gltK	6,6.1
gltL	1,1.5,1.5.1,1.5.1.1
gltL	1,1.5,1.5.1,1.5.1.5
gltL	4,4.3,4.3.A,4.3.A.1,4.3.A.1.a
gltP	1,1.5,1.5.1,1.5.1.1
gltP	1,1.5,1.5.1,1.5.1.5
gltP	4,4.2,4.2.A
gltP	6,6.1
gltS	1,1.5,1.5.1,1.5.1.1
gltS	1,1.5,1.5.1,1.5.1.5
gltS	4,4.2,4.2.A
gltS	6,6.1
gltT	2,2.2,2.2.5
gltU	2,2.2,2.2.5
gltV	2,2.2,2.2.5
gltW	2,2.2,2.2.5
gltX	1,1.5,1.5.3,1.5.3.12
gltX	2,2.3,2.3.1
gluQ	2,2.2,2.2.3
glvB	4,4.4,4.4.A
glvC	4,4.4,4.4.A
glvG	1,1.1,1.1.1
glxK	1,1.1,1.1.1
glxK	1,1.7,1.7.21
glxK	1,1.7,1.7.25
glxR	1,1.1,1.1.1
glxR	1,1.7,1.7.21
glyA	1,1.1,1.1.3
glyA	1,1.5,1.5.1,1.5.1.10
glyA	1,1.7,1.7.17
glyQ	2,2.3,2.3.1
glyS	2,2.3,2.3.1
glyT	2,2.2,2.2.5
glyU	2,2.2,2.2.5
glyV	2,2.2,2.2.5
glyW	2,2.2,2.2.5
glyX	2,2.2,2.2.5
glyY	2,2.2,2.2.5
gmd	1,1.5,1.5.3,1.5.3.7
gmd	1,1.6,1.6.2
gmd	5,5.5,5.5.5
gmd	6,6.3
gmd	6,6.7
gmhA	1,1.6,1.6.3,1.6.3.2
gmhB	1,1.6,1.6.3,1.6.3.2
gmk	1,1.5,1.5.2,1.5.2.3
gmk	1,1.7,1.7.33
gmm	1,1.6,1.6.2
gmm	1,1.7,1.7.10
gnd	1,1.1,1.1.1
gnd	1,1.3,1.3.2
gnsA	1,1.6,1.6.1
gnsB	1,1.5,1.5.4
gnsB	8,8.1
gntK	1,1.7,1.7.9
gntP	4,4.2,4.2.A
gntP	6,6.1
gntR	2,2.2,2.2.2
gntR	3,3.1,3.1.2,3.1.2.3
gntR	3,3.3,3.3.1
gntT	4,4.2,4.2.A
gntT	6,6.1
gntU	4,4.2,4.2.A
gntU	6,6.1
gph	2,2.1,2.1.4
gpmA	1,1.3,1.3.1
gpmA	1,1.7
gpmM	1,1.1,1.1.1
gpp	1,1.7,1.7.33
gpp	1,1.8,1.8.1
gpp	5,5.5,5.5.3
gpr	5,5.6,5.6.2
gpsA	1,1.7,1.7.6
gpsA	1,1.8,1.8.1
gpt	1,1.7,1.7.33
grcA	1,1.3,1.3.7
grcA	5,5.5,5.5.4
grcA	5,5.5,5.5.6
greA	2,2.2,2.2.2
greA	3,3.1,3.1.2
greB	2,2.2,2.2.2
greB	3,3.1,3.1.2
groL	2,2.3,2.3.4
groL	5,5.1
groS	2,2.3,2.3.4
groS	5,5.1
grpE	2,2.3,2.3.4
grpE	5,5.1
grpE	8,8.1
grxA	1,1.6,1.6.15,1.6.15.2
grxB	1,1.6,1.6.15,1.6.15.2
grxC	1,1.6,1.6.15,1.6.15.2
grxD	1,1.6,1.6.15,1.6.15.2
gshA	1,1.5,1.5.3,1.5.3.10
gshB	1,1.5,1.5.3,1.5.3.10
gsiA	4,4.3,4.3.A,4.3.A.1,4.3.A.1.a
gsiB	4,4.3,4.3.A,4.3.A.1,4.3.A.1.p
gsiC	4,4.9.B
gsiD	4,4.3,4.3.A,4.3.A.1,4.3.A.1.m
gsiD	6,6.1
gsk	1,1.7,1.7.33
gspA	4,4.9.B
gspC	4,4.9.B
gspD	4,4.9.B
gspE	4,4.9.B
gspF	4,4.9.B
gspF	6,6.1
gspG	4,4.9.B
gspH	4,4.9.B
gspI	4,4.9.B
gspJ	4,4.9.B
gspK	4,4.9.B
gspL	4,4.9.B
gspM	4,4.9.B
gspO	1,1.2,1.2.3
gspO	6,6.1
gss	1,1.7,1.7.14
gstA	5,5.6,5.6.2
gstB	5,5.6,5.6.2
guaA	1,1.5,1.5.2,1.5.2.1
guaA	1,1.7,1.7.33
guaB	1,1.5,1.5.2,1.5.2.1
guaB	1,1.7,1.7.33
guaC	1,1.7,1.7.33
guaD	1,1.7
gudD	1,1.1,1.1.1
gudP	1,1.1,1.1.1
gudP	4,4.2,4.2.A
gudP	6,6.1
gudX	1,1.1,1.1.1
gutM	1,1.1,1.1.1
gutM	2,2.2,2.2.2
gutM	3,3.1,3.1.2,3.1.2.2
gutQ	1,1.6,1.6.3,1.6.3.2
gyrA	2,2.1,2.1.1
gyrA	2,2.2,2.2.2
gyrB	2,2.1,2.1.1
gyrB	2,2.2,2.2.2
hcaB	1,1.1,1.1.1
hcaC	1,1.1,1.1.1
hcaD	1,1.1,1.1.1
hcaE	1,1.1,1.1.1
hcaF	1,1.1,1.1.1
hcaR	1,1.1,1.1.1
hcaR	2,2.2,2.2.2
hcaR	3,3.1,3.1.2,3.1.2.2
hcaR	3,3.1,3.1.2,3.1.2.3
hcaR	3,3.3,3.3.1
hcaT	4,4.2,4.2.A
hcaT	6,6.1
hchA	2,2.3,2.3.4
hchA	5,5.6,5.6.2
hcp	1,1.8,1.8.3
hcr	1
hda	2,2.1,2.1.1
hda	3,3.1,3.1.3,3.1.3.3
hdeA	5,5.10
hdeA	5,5.5,5.5.4
hdeB	5,5.5,5.5.4
hdeD	5,5.5,5.5.4
hdfR	2,2.2,2.2.2
hdfR	3,3.1,3.1.2,3.1.2.3
hdfR	3,3.3,3.3.1
hdhA	1,1.7,1.7.1
helD	2,2.1,2.1.3
hemA	1,1.5,1.5.3,1.5.3.12
hemB	1,1.5,1.5.3,1.5.3.12
hemC	1,1.5,1.5.3,1.5.3.12
hemD	1,1.5,1.5.3,1.5.3.12
hemE	1,1.5,1.5.3,1.5.3.12
hemF	1,1.5,1.5.3,1.5.3.12
hemG	1,1.5,1.5.3,1.5.3.12
hemH	1,1.5,1.5.3,1.5.3.12
hemL	1,1.5,1.5.3,1.5.3.12
hemN	1,1.5,1.5.3,1.5.3.12
hemW	2,2.3,2.3.4
hflC	1,1.2,1.2.3
hflC	3,3.1,3.1.3,3.1.3.4
hflC	8,8.1
hflK	1,1.2,1.2.3
hflK	3,3.1,3.1.3,3.1.3.4
hflK	8,8.1
hflX	6,6.6
hfq	2,2.2,2.2.4
hfq	2,2.2,2.2.7
hfq	2,2.3,2.3.7
hfq	3,3.1,3.1.3,3.1.3.1
hfq	3,3.1,3.1.3,3.1.3.6
hfq	3,3.3,3.3.4
hfq	8,8.1
hha	2,2.2,2.2.2
hha	3,3.1,3.1.2,3.1.2.4
hha	3,3.3,3.3.4
hha	5,5.6,5.6.3
hicA	2,2.2,2.2.4
hicB	3,3.1,3.1.4
hicB	5,5.5
higA	3,3.1,3.1.2
higB	3,3.1,3.1.3,3.1.3.1
hinT	1
hipA	2,2.3,2.3.2
hipA	2,2.3,2.3.3
hipA	3,3.1,3.1.3,3.1.3.2
hipB	2,2.2,2.2.2
hipB	3,3.1,3.1.2,3.1.2.3
hisA	1,1.5,1.5.1,1.5.1.16
hisB	1,1.5,1.5.1,1.5.1.16
hisC	1,1.5,1.5.1,1.5.1.16
hisD	1,1.5,1.5.1,1.5.1.16
hisF	1,1.5,1.5.1,1.5.1.16
hisG	1,1.5,1.5.1,1.5.1.16
hisH	1,1.5,1.5.1,1.5.1.16
hisI	1,1.5,1.5.1,1.5.1.16
hisJ	4,4.3,4.3.A,4.3.A.1,4.3.A.1.p
hisJ	5,5.5,5.5.6
hisL	1,1.5,1.5.1,1.5.1.16
hisM	4,4.3,4.3.A,4.3.A.1,4.3.A.1.m
hisM	5,5.5,5.5.6
hisM	6,6.1
hisP	4,4.3,4.3.A,4.3.A.1,4.3.A.1.a
hisP	5,5.5,5.5.6
hisQ	4,4.3,4.3.A,4.3.A.1,4.3.A.1.m
hisQ	5,5.5,5.5.6
hisQ	6,6.1
hisR	2,2.2,2.2.5
hisS	2,2.3,2.3.1
hldE	1,1.6,1.6.3,1.6.3.2
hlyE	5,5.6,5.6.3
hmp	1,1.7,1.7.1
hns	2,2.2,2.2.2
hns	2,2.3,2.3.7
hns	3,3.1,3.1.2,3.1.2.2
hns	3,3.1,3.1.2,3.1.2.3
hofC	6,6.1
hofM	1,1.1
hofN	1,1.1
hofO	1,1.1
hofP	1,1.1
hofQ	1,1.1
hokA	5,5.6,5.6.3
hokB	5,5.6,5.6.3
hokC	5,5.6,5.6.3
hokD	8,8.1
holA	2,2.1,2.1.1
holB	2,2.1,2.1.1
holC	2,2.1,2.1.1
holD	2,2.1,2.1.1
holE	2,2.1,2.1.1
hpf	2,2.3,2.3.2
hprR	2,2.2,2.2.2
hprR	3,3.1,3.1.2,3.1.2.2
hprR	5,5.6,5.6.4
hprS	2,2.3,2.3.3
hprS	3,3.1,3.1.2,3.1.2.4,3.1.2.4.3
hpt	1,1.7,1.7.33
hrpA	2,2.2,2.2.3
hscA	2,2.3,2.3.4
hscB	1,1.7,1.7.19
hscB	2,2.3,2.3.4
hscC	2,2.2,2.2.2
hscC	2,2.3,2.3.4
hsdM	2,2.1,2.1.2
hsdM	3,3.1,3.1.1,3.1.1.2
hsdR	1,1.2,1.2.2
hsdR	2,2.1,2.1.2
hsdR	2,2.1,2.1.5
hsdS	2,2.1,2.1.2
hsdS	3,3.1,3.1.1,3.1.1.2
hslO	2,2.3,2.3.4
hslR	5,5.5,5.5.2
hslU	1,1.2,1.2.3
hslU	2,2.3,2.3.4
hslU	2,2.3,2.3.6
hslU	3,3.1,3.1.3,3.1.3.4
hslU	5,5.1
hslU	5,5.2
hslU	5,5.5,5.5.2
hslV	1,1.2,1.2.3
hslV	2,2.3,2.3.4
hslV	2,2.3,2.3.6
hslV	3,3.1,3.1.3,3.1.3.4
hslV	5,5.1
hspQ	2,2.1
hspQ	3
hsrA	4,4.2,4.2.A
hsrA	6,6.1
htpG	2,2.3,2.3.4
htpX	5,5.5,5.5.2
htpX	6,6.1
htrE	6
hupA	2,2.2,2.2.2
hupA	2,2.3,2.3.7
hupA	3,3.1,3.1.2
hupA	3,3.1,3.1.2,3.1.2.2
hupA	3,3.1,3.1.2,3.1.2.3
hupB	2,2.2,2.2.2
hupB	2,2.3,2.3.7
hupB	3,3.1,3.1.2
hupB	3,3.1,3.1.2,3.1.2.2
hupB	3,3.1,3.1.2,3.1.2.3
hxpB	5,5.6,5.6.2
hyaA	1,1.3,1.3.6
hyaA	1,1.3,1.3.7
hyaA	1,1.4,1.4.1
hyaB	1,1.3,1.3.6
hyaB	1,1.3,1.3.7
hyaB	1,1.4,1.4.1
hyaC	1,1.3,1.3.6
hyaC	1,1.3,1.3.7
hyaC	1,1.4,1.4.1
hyaC	1,1.6,1.6.15,1.6.15.1
hyaC	6,6.1
hyaD	1,1.3,1.3.6
hyaD	1,1.3,1.3.7
hyaD	2,2.3,2.3.3
hyaE	1,1.3,1.3.6
hyaE	1,1.3,1.3.7
hyaE	2,2.3,2.3.4
hyaF	1,1.3,1.3.6
hyaF	1,1.3,1.3.7
hyaF	2,2.3,2.3.4
hybA	1,1.4,1.4.1
hybB	1,1.3,1.3.7
hybB	1,1.4,1.4.1
hybB	1,1.6,1.6.15,1.6.15.1
hybB	6,6.1
hybC	1,1.3,1.3.7
hybC	1,1.4,1.4.1
hybD	1,1.3,1.3.7
hybD	2,2.3,2.3.3
hybE	2,2.3,2.3.4
hybF	1,1.3,1.3.7
hybF	2,2.3,2.3.3
hybG	1,1.3,1.3.7
hybG	2,2.3,2.3.4
hybO	1,1.3,1.3.7
hybO	1,1.4,1.4.1
hycA	1,1.3,1.3.5
hycA	3,3.3,3.3.1
hycB	1,1.3,1.3.5
hycC	1,1.3,1.3.5
hycC	6,6.1
hycD	1,1.3,1.3.5
hycD	6,6.1
hycE	1,1.3,1.3.5
hycF	1,1.3,1.3.5
hycF	6,6.1
hycG	1,1.3,1.3.5
hycH	1,1.3,1.3.5
hycI	2,2.3,2.3.3
hycI	2,2.3,2.3.4
hydN	1,1.3,1.3.7
hyfA	1,1.3,1.3.7
hyfB	1,1.3,1.3.7
hyfB	6,6.1
hyfC	1,1.3,1.3.7
hyfC	6,6.1
hyfD	1,1.3,1.3.7
hyfD	6,6.1
hyfE	1,1.3,1.3.7
hyfE	6,6.1
hyfF	1,1.3,1.3.7
hyfF	6,6.1
hyfG	1,1.3,1.3.7
hyfH	1,1.3,1.3.7
hyfI	1,1.3,1.3.7
hyfR	1,1.3,1.3.7
hyfR	2,2.2,2.2.2
hyfR	3,3.1,3.1.2,3.1.2.2
hyfR	3,3.3,3.3.1
hyi	1,1.7,1.7.1
hypA	1,1.3,1.3.7
hypB	1,1.3,1.3.5
hypB	2,2.3,2.3.4
hypC	1,1.3,1.3.7
hypC	2,2.3,2.3.4
hypD	1,1.3,1.3.7
hypD	2,2.3,2.3.3
hypE	1,1.3,1.3.7
hypE	2,2.3,2.3.3
hypF	1,1.3,1.3.7
hypF	2,2.3,2.3.3
hypT	2,2.2,2.2.2
hypT	3,3.1,3.1.2,3.1.2.2
hypT	3,3.1,3.1.2,3.1.2.3
iaaA	1,1.1,1.1.3
iadA	1,1.2,1.2.3
iadA	2,2.3,2.3.6
iap	2,2.3,2.3.3
ibpA	5,5.5,5.5.2
ibpA	5,5.5,5.5.6
ibpB	5,5.5,5.5.2
ibpB	5,5.5,5.5.6
ibsA	5
ibsB	5
ibsC	5
ibsD	5
ibsE	5
icd	1,1.3,1.3.4
iclR	1,1.7,1.7.2
iclR	2,2.2,2.2.2
iclR	3,3.1,3.1.2,3.1.2.3
iclR	3,3.3,3.3.1
idi	1,1.5,1.5.3,1.5.3.11
idnD	1,1.1,1.1.1
idnK	1,1.1,1.1.1
idnO	1,1.1,1.1.1
idnR	1,1.1,1.1.1
idnR	2,2.2,2.2.2
idnR	3,3.1,3.1.2,3.1.2.2
idnR	3,3.1,3.1.2,3.1.2.3
idnR	3,3.3,3.3.1
idnT	4,4.2,4.2.A
idnT	6,6.1
igaA	5,5.5
ihfA	2,2.1,2.1.3
ihfA	2,2.2,2.2.2
ihfA	3,3.1,3.1.2,3.1.2.2
ihfA	3,3.1,3.1.2,3.1.2.3
ihfB	2,2.1,2.1.3
ihfB	2,2.2,2.2.2
ihfB	2,2.3,2.3.7
ihfB	3,3.1,3.1.2,3.1.2.2
ihfB	3,3.1,3.1.2,3.1.2.3
ileS	2,2.3,2.3.1
ileT	2,2.2,2.2.5
ileU	2,2.2,2.2.5
ileV	2,2.2,2.2.5
ileX	2,2.2,2.2.5
ileY	2,2.2,2.2.5
ilvA	1,1.5,1.5.1,1.5.1.18
ilvB	1,1.5,1.5.1,1.5.1.18
ilvC	1,1.5,1.5.1,1.5.1.18
ilvD	1,1.5,1.5.1,1.5.1.18
ilvE	1,1.5,1.5.1,1.5.1.17
ilvE	1,1.5,1.5.1,1.5.1.18
ilvE	1,1.5,1.5.1,1.5.1.19
ilvH	1,1.5,1.5.1,1.5.1.18
