source,target,score
AgaR,OxyR,0.0
AgaR,PaaX,0.0
AgaR,PdhR,0.0
AgaR,PepA,0.0
AgaR,PhoB,0.0
AgaR,PhoP,0.0
AgaR,PrpR,0.0
AgaR,PspF,0.0
AgaR,PurR,0.0
AgaR,PuuR,0.0
AgaR,QseB,0.0
AgaR,RbsR,0.0
AgaR,RcdA,0.0
AgaR,RcnR,0.0
AgaR,RcsAB,0.0
AgaR,RcsB,0.0
AgaR,RcsB-BglJ,0.0
AgaR,RelB,0.0
AgaR,RelB-RelE,0.0
AgaR,RhaR,0.0
AgaR,RhaS,0.0
AgaR,Rob,0.0
AgaR,RstA,0.0
AgaR,RtcR,0.0
AgaR,RutR,0.0
AgaR,SlyA,0.0
AgaR,SoxR,0.0
AgaR,SoxS,0.0
AgaR,SrlR,0.0
AgaR,StpA,0.0
AgaR,TdcA,0.0
AgaR,TdcR,0.0
AgaR,TorR,0.0
AgaR,TreR,0.0
AgaR,TyrR,0.0
AgaR,UidR,0.0
AgaR,UlaR,0.0
AgaR,UxuR,0.0
AgaR,XylR,0.0
AgaR,YdeO,0.0
AgaR,YiaJ,0.0
AgaR,ZraR,0.0
AgaR,Zur,0.0
AppY,AcrR,0.0
AppY,AdiY,0.0
AppY,AgaR,0.0
AppY,AppY,1.0
AppY,AraC,0.0
AppY,ArcA,0.06666666666666667
AppY,ArgP,0.0
AppY,ArgR,0.0
AppY,AscG,0.0
AppY,AtoC,0.0
AppY,BCCP,0.0
AppY,BaeR,0.0
AppY,BasR,0.0
AppY,BetI,0.0
AppY,CRP,0.0
AppY,CadC,0.0
AppY,CaiF,0.0
AppY,Cbl,0.0
AppY,CdaR,0.0
AppY,ChbR,0.0
AppY,CpxR,0.0
AppY,Cra,0.0
AppY,CreB,0.0
AppY,CsgD,0.0
AppY,CueR,0.0
AppY,CusR,0.0
AppY,CysB,0.0
AppY,CytR,0.0
AppY,DcuR,0.0
AppY,DeoR,0.0
AppY,DgoR,0.0
AppY,DnaA,0.0
AppY,DpiA,0.0
AppY,DsdC,0.0
AppY,EvgA,0.0
AppY,ExuR,0.0
AppY,FNR,0.0
AppY,FabR,0.0
AppY,FadR,0.0
AppY,FhlA,0.0
AppY,Fis,0.038461538461538464
AppY,FlhDC,0.0
AppY,FliZ,0.0
AppY,FucR,0.0
AppY,Fur,0.0
AppY,GadE,0.0
AppY,GadE-RcsB,0.0
AppY,GadX,0.0
AppY,GalR,0.0
AppY,GalS,0.0
AppY,GatR,0.0
AppY,GcvA,0.0
AppY,GlaR,0.0
AppY,GlcC,0.0
AppY,GlpR,0.0
AppY,GlrR,0.0
AppY,GntR,0.0
AppY,GutM,0.0
AppY,H-NS,0.0
AppY,HU,0.0
AppY,HdfR,0.0
AppY,HipAB,0.0
AppY,HipB,0.0
AppY,HprR,0.0
AppY,HyfR,0.0
AppY,HypT,0.0
AppY,IHF,0.0
AppY,IclR,0.0
AppY,IdnR,0.0
AppY,IscR,0.2
AppY,LacI,0.0
AppY,LeuO,0.0
AppY,LexA,0.0
AppY,LldR,0.0
AppY,Lrp,0.0
AppY,LsrR,0.0
AppY,MalI,0.0
AppY,MalT,0.0
AppY,MarA,0.0
AppY,MarR,0.0
AppY,McbR,0.0
AppY,MelR,0.0
AppY,MetJ,0.0
AppY,MetR,0.0
AppY,MhpR,0.0
AppY,Mlc,0.0
AppY,MlrA,0.0
AppY,ModE,0.0
AppY,MqsA,0.0
AppY,MraZ,0.0
AppY,MurR,0.0
AppY,Nac,0.0
AppY,NagC,0.0
AppY,NanR,0.0
AppY,NarL,0.047619047619047616
AppY,NarP,0.1111111111111111
AppY,NemR,0.0
AppY,NhaR,0.0
AppY,NikR,0.0
AppY,NorR,0.0
AppY,NrdR,0.0
AppY,NsrR,0.0
AppY,NtrC,0.0
AppY,OmpR,0.0
AppY,OxyR,0.0
AppY,PaaX,0.0
AppY,PdhR,0.0
AppY,PepA,0.0
AppY,PhoB,0.0
AppY,PhoP,0.0
AppY,PrpR,0.0
AppY,PspF,0.0
AppY,PurR,0.0
AppY,PuuR,0.0
AppY,QseB,0.0
AppY,RbsR,0.0
AppY,RcdA,0.0
AppY,RcnR,0.0
AppY,RcsAB,0.0
AppY,RcsB,0.0
AppY,RcsB-BglJ,0.0
AppY,RelB,0.0
AppY,RelB-RelE,0.0
AppY,RhaR,0.0
AppY,RhaS,0.0
AppY,Rob,0.0
AppY,RstA,0.0
AppY,RtcR,0.0
AppY,RutR,0.0
AppY,SlyA,0.0
AppY,SoxR,0.0
AppY,SoxS,0.0
AppY,SrlR,0.0
AppY,StpA,0.0
AppY,TdcA,0.0
AppY,TdcR,0.0
AppY,TorR,0.0
AppY,TreR,0.0
AppY,TyrR,0.0
AppY,UidR,0.0
AppY,UlaR,0.0
AppY,UxuR,0.0
AppY,XylR,0.0
AppY,YdeO,1.0
AppY,YiaJ,0.0
AppY,ZraR,0.0
AppY,Zur,0.0
AraC,AcrR,0.0
AraC,AdiY,0.0
AraC,AgaR,0.0
AraC,AppY,0.0
AraC,AraC,1.0
AraC,ArcA,0.0
AraC,ArgP,0.0
AraC,ArgR,0.0
AraC,AscG,0.0
AraC,AtoC,0.0
AraC,BCCP,0.0
AraC,BaeR,0.0
AraC,BasR,0.0
AraC,BetI,0.0
AraC,CRP,0.024096385542168676
AraC,CadC,0.0
AraC,CaiF,0.0
AraC,Cbl,0.0
AraC,CdaR,0.0
AraC,ChbR,0.0
AraC,CpxR,0.0
AraC,Cra,0.0
AraC,CreB,0.0
AraC,CsgD,0.0
AraC,CueR,0.0
AraC,CusR,0.0
AraC,CysB,0.0
AraC,CytR,0.0
AraC,DcuR,0.0
AraC,DeoR,0.0
AraC,DgoR,0.0
AraC,DnaA,0.0
AraC,DpiA,0.0
AraC,DsdC,0.0
AraC,EvgA,0.0
AraC,ExuR,0.0
AraC,FNR,0.0
AraC,FabR,0.0
AraC,FadR,0.0
AraC,FhlA,0.0
AraC,Fis,0.0
AraC,FlhDC,0.0
