source	target
GO:0006044	GO:0006046
GO:1901072	GO:0006046
GO:0009226	GO:0006048
GO:0006047	GO:0006048
GO:0046349	GO:0006048
GO:0046395	GO:0019262
GO:0046348	GO:0019262
GO:0017001	GO:0019262
GO:0006054	GO:0019262
GO:0042737	GO:0019262
GO:0016861	GO:0043877
GO:0005488	GO:0097367
GO:0071704	GO:1901135
GO:0006006	GO:0006007
GO:0019320	GO:0006007
GO:0050308	GO:0008877
GO:0016791	GO:0016158
GO:0016209	GO:0004601
GO:0016684	GO:0004601
GO:1990204	GO:0009321
GO:0044444	GO:0009321
GO:0009267	GO:0009970
GO:0016491	GO:0016684
GO:0016671	GO:0032843
GO:1901700	GO:0033194
GO:0006979	GO:0033194
GO:0010033	GO:0033195
GO:0033194	GO:0033195
GO:0033212	GO:0033214
GO:0050794	GO:0045454
GO:0019725	GO:0045454
GO:0016668	GO:0008785
GO:0043168	GO:0050660
GO:0000166	GO:0050660
GO:0050662	GO:0050660
GO:0050661	GO:0070402
GO:0043168	GO:0070402
GO:0050660	GO:0071949
GO:0004033	GO:0008106
GO:0003995	GO:0008470
GO:0042578	GO:0016791
GO:0044464	GO:0042597
GO:0047635	GO:0004021
GO:0006522	GO:0006523
GO:0009079	GO:0006523
GO:0016769	GO:0008483
GO:0006090	GO:0019272
GO:0042852	GO:0019272
GO:0046437	GO:0030632
GO:0046436	GO:0030632
GO:0046145	GO:0030632
GO:0015298	GO:0015299
GO:0015078	GO:0015299
GO:0006865	GO:0015807
GO:0015807	GO:0015808
GO:0032328	GO:0015808
GO:0003333	GO:0032973
GO:0140115	GO:0032973
GO:0015562	GO:0034639
GO:0015179	GO:0034639
GO:0015807	GO:1902475
GO:0003333	GO:1902475
GO:0001131	GO:0001141
GO:0001217	GO:0001141
GO:0140101	GO:0002161
GO:0052689	GO:0002161
GO:0002161	GO:0002196
GO:0004812	GO:0004813
GO:0009451	GO:0006400
GO:0008033	GO:0006400
GO:0006418	GO:0006419
GO:0065008	GO:0006450
GO:0031406	GO:0016597
GO:0016620	GO:0004777
GO:0004029	GO:0008911
GO:0016620	GO:0009013
GO:0019320	GO:0019301
GO:0019299	GO:0019301
GO:0019317	GO:0042355
GO:0042354	GO:0042355
GO:0004029	GO:0050569
GO:0051262	GO:0051289
GO:0051260	GO:0051289
GO:0016620	GO:0004029
GO:0019104	GO:0003905
GO:0006974	GO:0006281
GO:0006259	GO:0006281
GO:0006281	GO:0006284
GO:0006259	GO:0006285
GO:0043733	GO:0008725
GO:0003684	GO:0032131
GO:0032991	GO:0032993
GO:0003905	GO:0043916
GO:0140098	GO:0035515
GO:0032451	GO:0035515
GO:0016491	GO:0035515
GO:0035511	GO:0035552
GO:0035513	GO:0035553
GO:0016070	GO:0042245
GO:0016706	GO:0043734
GO:0016491	GO:0051213
GO:0016787	GO:0051747
GO:0035514	GO:0051747
GO:0016706	GO:0070579
GO:0055114	GO:0070989
GO:0070988	GO:0070989
GO:0016706	GO:0103053
GO:0016842	GO:0050385
GO:0016812	GO:0004038
GO:0072523	GO:0006145
GO:0006144	GO:0006145
GO:0046113	GO:0006145
GO:0000256	GO:0009442
GO:0016813	GO:0047652
GO:0016616	GO:0009040
GO:0016813	GO:0071522
GO:0019015	GO:0019038
GO:0044764	GO:0042710
GO:0047661	GO:0008784
GO:0015149	GO:0015593
GO:0034219	GO:0015749
GO:0008645	GO:0015754
GO:0071702	GO:0008643
GO:0051119	GO:0015145
GO:0030246	GO:0048029
GO:0036094	GO:0048029
GO:0016857	GO:0004750
GO:0019693	GO:0009052
GO:0019682	GO:0009052
GO:0019314	GO:0019316
GO:0046367	GO:0019316
GO:0046365	GO:0019323
GO:0019321	GO:0019323
GO:0016857	GO:0034700
GO:0005975	GO:0044262
GO:0044237	GO:0044262
GO:0004396	GO:0004340
GO:0019200	GO:0008787
GO:0016773	GO:0008787
GO:0016310	GO:0046835
GO:0044262	GO:0046835
GO:1901135	GO:0051156
GO:0019637	GO:0051156
GO:0006796	GO:0051156
GO:0022402	GO:0000910
GO:0016811	GO:0008745
GO:0061783	GO:0008745
GO:0009987	GO:0051301
GO:0046677	GO:0071236
GO:0070887	GO:0071236
GO:0000910	GO:0043093
GO:0022414	GO:0043093
GO:0006027	GO:0009253
GO:0000270	GO:0009253
GO:0000270	GO:0009254
GO:0016810	GO:0009392
GO:0016020	GO:0019867
GO:0016799	GO:0008714
GO:0016812	GO:0008800
GO:0030203	GO:0000270
GO:1901264	GO:0015835
GO:0071705	GO:0015835
GO:0070011	GO:0004175
GO:0008238	GO:0004180
GO:0065008	GO:0008360
GO:0022604	GO:0008360
GO:1901363	GO:0008658
GO:0097159	GO:0008658
GO:0033218	GO:0008658
GO:0008144	GO:0008658
GO:0033293	GO:0008658
GO:1901681	GO:0008658
GO:0008324	GO:0008519
GO:0015291	GO:0015292
GO:0015893	GO:0015670
GO:0015669	GO:0015670
GO:0019755	GO:0015670
GO:0006812	GO:0015696
GO:0071705	GO:0015696
GO:0098655	GO:0072488
GO:0015696	GO:0072488
GO:0003674	GO:0003824
GO:0016160	GO:0004556
GO:0016772	GO:0016301
GO:0016811	GO:0004067
GO:0072329	GO:0006530
GO:0009068	GO:0006530
GO:0006528	GO:0006530
GO:0009065	GO:0006530
GO:0006530	GO:0033345
GO:0004721	GO:0008138
GO:0004551	GO:0008796
GO:0008796	GO:0008803
GO:0010212	GO:0010165
GO:0055086	GO:0015949
GO:0016791	GO:0003993
GO:0016791	GO:0004647
GO:0005488	GO:0048037
GO:0016791	GO:0008252
GO:0009267	GO:0016036
GO:0046855	GO:0033518
GO:0033517	GO:0033518
GO:0019203	GO:0050308
GO:0016791	GO:0052745
GO:0033554	GO:0071454
GO:0034059	GO:0071454
GO:0036294	GO:0071454
GO:0016491	GO:0009055
GO:0016679	GO:0016682
GO:0022904	GO:0019646
GO:0009060	GO:0019646
GO:0032991	GO:0070069
GO:0016763	GO:0003999
GO:0046084	GO:0006168
GO:0043096	GO:0006168
GO:0042044	GO:0006833
GO:0006950	GO:0006970
GO:0009628	GO:0006970
GO:0006884	GO:0009992
GO:0030104	GO:0009992
GO:0055082	GO:0009992
GO:0022838	GO:0015250
GO:0005372	GO:0015250
GO:0016861	GO:0008733
GO:0019323	GO:0019568
GO:0019566	GO:0019568
GO:1901159	GO:0019569
GO:0019572	GO:0019569
GO:0019200	GO:0008741
GO:0016773	GO:0008741
GO:1901575	GO:0016052
GO:0005975	GO:0016052
GO:0016772	GO:0016773
GO:0019568	GO:0019572
GO:0046373	GO:0019572
